,0
543,False
544,False
545,False
546,False
547,False
548,False
549,False
550,False
551,False
552,False
553,False
554,False
555,False
556,False
557,True
558,False
559,False
560,False
561,True
562,True
563,True
564,True
565,False
566,True
567,True
568,False
569,False
570,False
571,False
572,False
573,False
574,False
575,True
576,True
577,True
578,False
579,True
580,True
581,False
582,False
583,False
584,False
585,False
586,False
587,True
588,True
589,False
590,False
591,True
592,True
593,False
594,False
595,False
596,True
597,True
598,False
599,False
600,True
601,True
602,True
603,False
604,True
605,False
606,False
607,False
608,False
609,True
610,False
611,False
612,False
613,False
614,False
615,True
616,False
617,True
618,False
619,False
620,False
621,False
622,False
623,False
624,True
625,True
626,False
627,False
628,True
629,False
630,True
631,False
632,True
633,True
634,False
635,False
636,False
637,False
638,True
639,False
640,False
641,True
642,True
643,True
644,True
645,True
646,True
647,True
648,True
649,True
650,False
651,False
652,False
653,False
654,False
655,False
656,False
657,True
658,False
659,False
660,False
661,True
662,False
663,False
664,False
665,True
666,True
667,False
668,False
669,False
670,False
671,True
672,True
673,False
674,False
675,True
676,True
677,False
678,True
679,False
680,True
681,False
682,True
683,True
684,True
685,False
686,True
687,False
688,False
689,False
690,False
691,False
692,True
693,False
694,False
695,True
696,True
697,False
698,True
699,False
700,False
701,False
702,True
703,False
704,False
705,True
706,True
707,True
708,False
709,True
710,False
711,False
712,True
713,False
714,False
715,False
716,True
717,True
718,False
719,False
720,False
721,False
722,False
723,True
724,False
725,True
726,False
727,False
728,True
729,True
730,False
731,True
732,False
733,False
734,True
735,False
736,False
737,True
738,True
739,False
740,True
741,False
742,False
743,False
744,False
745,True
746,True
747,True
748,True
749,False
750,False
751,False
752,True
753,True
754,False
755,True
756,False
757,False
758,True
759,True
760,False
761,True
762,True
763,True
764,False
765,True
766,False
767,False
768,False
769,True
770,True
771,False
772,True
773,False
774,True
775,True
776,False
777,False
778,False
779,True
780,False
781,False
782,True
783,False
784,False
785,True
786,False
787,False
788,True
789,True
790,False
791,False
792,False
793,False
794,True
795,False
796,True
797,False
798,True
799,False
800,False
801,True
802,False
803,False
804,True
805,False
806,True
807,True
808,True
809,True
810,False
811,False
812,True
813,False
814,False
815,True
816,True
817,False
818,False
819,False
820,False
821,False
822,True
823,False
824,False
825,True
826,False
827,True
828,False
829,True
830,False
831,False
832,True
833,True
834,True
835,False
836,False
837,True
838,False
839,False
840,False
841,False
842,True
843,False
844,False
845,True
846,False
847,True
848,True
849,True
850,True
851,True
852,False
853,True
854,True
855,False
856,True
857,True
858,False
859,False
860,False
861,True
862,False
863,False
864,True
865,True
866,True
867,True
868,False
869,False
870,True
871,True
872,False
873,True
874,False
875,True
876,False
877,False
878,True
879,False
880,False
881,False
882,True
883,True
884,False
885,True
886,True
887,True
888,True
889,False
890,True
891,False
892,False
893,True
894,False
895,False
896,True
897,True
898,False
899,False
900,False
901,False
902,False
903,False
904,True
905,False
906,False
907,True
908,False
909,False
910,False
911,False
912,True
913,False
914,True
915,False
916,False
917,False
918,False
919,False
920,False
921,False
922,False
923,False
924,False
925,True
926,False
927,True
928,False
929,False
930,False
931,False
932,False
933,True
934,True
935,False
936,True
937,True
938,True
939,False
940,False
941,True
942,False
943,True
944,True
945,False
946,True
947,False
948,True
949,True
950,True
951,True
952,False
953,False
954,False
955,False
956,True
957,False
958,True
959,True
960,True
961,False
962,False
963,False
964,True
965,True
966,False
967,True
968,False
969,True
970,False
971,True
972,False
973,False
974,False
975,False
976,False
977,False
978,True
979,True
980,True
981,True
982,True
983,True
984,False
985,True
986,False
987,False
988,True
989,True
990,False
991,True
992,False
993,True
994,True
995,True
996,True
997,True
998,True
999,True
1000,True
1001,True
